type,rating,listed_in,release_year,duration_mins,cluster
0,11,319,2021,97.0,2
0,11,217,2021,97.0,2
0,11,46,2021,123.0,0
1,11,393,2021,1.0,1
0,11,353,2021,94.0,2
1,12,486,2021,1.0,1
1,12,90,2021,1.0,0
1,11,398,2021,2.0,1
0,11,337,2021,111.0,2
1,11,291,2021,2.0,2
0,11,274,2021,85.0,2
0,13,121,2015,65.0,0
0,14,121,2013,64.0,0
0,14,121,2009,68.0,0
0,14,121,2011,67.0,0
0,14,121,2010,66.0,0
0,14,121,2013,64.0,0
0,14,121,2013,64.0,0
0,14,121,2013,65.0,0
0,14,121,2013,64.0,0
0,14,121,2012,68.0,0
0,14,121,2009,68.0,0
0,14,121,2013,64.0,0
0,14,121,2015,62.0,0
0,13,121,2019,63.0,0
0,14,150,2010,69.0,0
0,14,121,2012,70.0,0
0,14,121,2014,63.0,0
0,14,121,2011,68.0,0
0,14,121,2011,74.0,0
0,14,121,2012,68.0,0
1,9,498,2019,5.0,1
0,11,309,2021,99.0,2
0,9,217,2019,90.0,2
0,10,67,2021,87.0,0
0,9,332,2020,105.0,2
1,9,104,2021,1.0,0
1,11,386,2021,1.0,1
0,14,121,2021,106.0,0
0,11,199,2020,102.0,2
1,11,151,2020,1.0,0
1,11,240,2019,1.0,2
0,9,329,2021,91.0,2
0,8,0,2021,88.0,0
0,12,329,2020,107.0,2
0,11,332,2021,101.0,2
1,11,300,2021,3.0,2
0,8,354,2021,114.0,2
1,14,433,2021,1.0,1
0,8,217,1999,123.0,2
1,9,291,2021,1.0,2
0,8,325,2017,94.0,2
0,7,309,2017,105.0,2
0,7,337,2011,117.0,2
0,7,337,2012,115.0,2
0,7,337,2010,124.0,2
0,7,337,2009,131.0,2
0,7,40,2008,122.0,0
0,12,200,2021,113.0,2
1,11,80,2021,2.0,0
0,11,186,1983,91.0,2
0,11,283,2021,100.0,2
1,9,393,2019,1.0,1
0,12,284,2021,93.0,2
0,9,329,2021,90.0,2
1,9,492,2021,2.0,1
0,6,134,2007,86.0,0
0,9,199,2019,100.0,2
0,11,274,2019,96.0,2
0,11,350,2021,95.0,2
0,8,20,2021,115.0,0
1,11,234,2021,1.0,2
1,11,446,2021,1.0,1
0,11,281,2021,100.0,2
0,11,200,2021,102.0,2
0,11,318,2019,87.0,2
0,9,442,2021,39.0,1
0,12,141,2021,110.0,0
1,13,422,2021,1.0,1
0,11,289,2020,93.0,2
0,8,20,2015,96.0,0
0,11,470,2019,93.0,1
0,11,196,2016,93.0,2
1,9,492,2021,4.0,1
1,11,415,2021,2.0,1
0,8,345,2021,111.0,2
0,9,200,2020,105.0,2
0,11,39,2021,101.0,0
1,11,291,2021,1.0,2
0,11,329,2021,102.0,2
0,10,470,2021,46.0,1
0,9,513,2021,89.0,1
0,6,133,2016,94.0,0
1,11,391,2021,1.0,1
1,9,462,2021,3.0,1
0,9,217,2017,104.0,2
1,11,235,2021,1.0,2
0,7,203,2017,97.0,2
0,7,337,2018,91.0,2
1,11,91,2021,1.0,0
0,8,227,2015,106.0,2
0,11,281,2019,38.0,2
0,7,52,2014,90.0,0
1,9,291,2021,1.0,2
0,11,326,2020,87.0,2
1,12,291,2021,2.0,2
0,11,52,2021,138.0,0
0,11,326,2020,105.0,2
0,9,329,2010,104.0,2
1,11,244,2021,2.0,2
1,11,399,2021,1.0,1
0,12,326,2020,85.0,2
0,10,369,2021,92.0,2
0,9,217,2019,108.0,2
0,11,326,2019,95.0,2
1,13,422,2019,3.0,1
1,9,414,2016,2.0,1
1,11,472,2017,2.0,1
1,14,422,2007,4.0,1
1,9,482,2018,3.0,1
1,11,108,2019,5.0,0
1,11,108,2019,2.0,0
1,11,414,2021,2.0,1
1,9,393,2017,2.0,1
0,9,326,2020,105.0,2
1,11,96,2020,2.0,0
1,11,487,2021,2.0,1
1,11,409,2021,5.0,1
1,14,424,2015,3.0,1
1,11,97,2019,3.0,0
1,11,412,2019,2.0,1
1,13,422,2018,8.0,1
1,11,488,2019,7.0,1
1,13,422,2016,2.0,1
0,9,329,2012,116.0,2
0,11,326,1976,124.0,2
1,10,433,2015,2.0,1
0,12,326,2018,101.0,2
1,11,266,2019,3.0,2
1,9,412,2021,3.0,1
0,10,326,2019,95.0,2
1,13,433,2015,2.0,1
1,9,294,2018,3.0,2
1,9,385,2018,6.0,1
1,12,109,2021,2.0,0
1,12,432,2020,2.0,1
1,10,110,2020,4.0,0
0,9,200,2018,128.0,2
0,9,326,1959,143.0,2
1,11,242,2020,2.0,2
1,11,409,2021,5.0,1
1,13,423,2020,3.0,1
1,9,394,2021,1.0,1
1,14,422,2021,1.0,1
1,9,462,2020,17.0,1
1,9,385,2020,1.0,1
0,8,354,2021,107.0,2
0,11,371,2021,136.0,2
0,11,217,2020,94.0,2
1,11,244,2019,2.0,2
0,11,332,2020,136.0,2
0,8,32,2013,126.0,0
0,9,353,2021,116.0,2
0,7,357,2018,100.0,2
0,8,0,2012,115.0,0
0,8,0,1997,125.0,0
0,7,289,2021,39.0,2
0,7,20,2002,94.0,0
0,7,185,1997,90.0,2
0,7,28,1999,95.0,0
0,8,199,1997,155.0,2
1,10,377,2020,1.0,1
0,7,20,2000,98.0,0
0,7,64,1995,108.0,0
0,6,125,1993,96.0,0
0,9,329,2019,117.0,2
0,9,52,2021,118.0,0
1,11,393,2021,1.0,1
0,7,200,2019,103.0,2
0,6,125,2008,94.0,0
0,6,125,2011,93.0,0
0,7,203,2010,115.0,2
0,8,312,2019,120.0,2
1,11,409,2021,1.0,1
0,7,337,2005,145.0,2
0,8,15,1988,126.0,0
0,9,5,2021,96.0,0
0,7,60,1995,101.0,0
0,7,197,2016,118.0,2
0,8,230,2011,109.0,2
0,8,185,2001,89.0,2
0,7,337,2018,106.0,2
0,8,345,1992,101.0,2
1,11,410,2020,1.0,1
1,13,422,2018,1.0,1
0,8,326,2019,101.0,2
1,14,86,2016,3.0,0
0,7,337,2008,123.0,2
0,8,230,2010,106.0,2
0,6,125,2000,89.0,0
0,7,60,2009,128.0,0
0,6,125,1999,85.0,0
0,8,199,2019,89.0,2
0,7,29,2006,108.0,0
0,8,344,2010,105.0,2
0,7,309,2019,133.0,2
0,8,513,1997,129.0,1
0,6,8,1984,127.0,0
0,6,11,1986,113.0,0
0,6,138,1989,112.0,0
0,8,309,2003,130.0,2
0,8,0,1980,100.0,0
0,7,326,2006,103.0,2
0,8,359,2008,85.0,2
0,7,0,2002,124.0,0
0,7,58,2010,103.0,0
0,8,47,2003,121.0,0
0,8,47,2012,89.0,0
0,8,47,2009,92.0,0
0,11,332,2020,112.0,2
0,7,338,1998,114.0,2
0,8,336,1998,116.0,2
0,8,309,2019,110.0,2
1,11,394,2021,1.0,1
0,11,20,2021,98.0,0
0,9,326,2020,98.0,2
1,11,446,2019,1.0,1
1,9,77,2020,1.0,0
0,8,513,2019,100.0,1
0,11,200,2021,90.0,2
0,11,332,2021,92.0,2
1,11,241,2021,1.0,2
1,11,96,2021,1.0,0
1,9,85,2020,1.0,0
1,13,422,2021,4.0,1
0,9,326,2020,82.0,2
0,8,309,2012,97.0,2
1,9,80,2021,5.0,0
0,9,217,2019,90.0,2
0,11,319,2018,76.0,2
0,9,281,2019,83.0,2
0,11,326,2010,101.0,2
0,7,0,2021,109.0,0
1,11,414,2021,1.0,1
1,11,462,2021,1.0,1
1,9,80,2021,1.0,0
1,11,412,2021,1.0,1
0,6,289,2021,97.0,2
1,11,412,2021,2.0,1
0,8,345,2021,87.0,2
0,11,230,2021,94.0,2
0,9,281,2021,89.0,2
0,11,219,2021,88.0,2
1,10,385,2021,1.0,1
1,11,447,2021,2.0,1
0,9,329,2019,108.0,2
0,9,326,2016,96.0,2
0,11,200,2003,84.0,2
0,9,200,2004,70.0,2
1,11,292,2021,1.0,2
0,11,200,2014,125.0,2
0,11,200,2016,119.0,2
0,11,367,2015,105.0,2
1,9,451,2001,2.0,1
1,9,394,2021,1.0,1
1,9,394,2018,1.0,1
1,9,482,2021,4.0,1
1,11,410,2018,4.0,1
1,9,487,2018,1.0,1
1,11,412,2019,1.0,1
1,13,422,2020,2.0,1
1,11,244,2020,2.0,2
1,9,393,2020,1.0,1
1,9,492,2015,6.0,1
